artist,song,popularity,danceability,tempo,genre
Dido,White Flag,44,0.512,169.951,pop
The Roots,The Seed (2.0),63,0.758,111.121,hip hop
Chingy,Holidae In,61,0.81,153.067,"hip hop, pop, R&B"
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),61,0.646,192.082,"hip hop, pop, R&B"
Kelly Clarkson,Miss Independent,47,0.656,175.943,"pop, R&B"
Ja Rule,Mesmerize,61,0.769,90.079,"hip hop, pop, R&B"
Matchbox Twenty,Unwell,63,0.256,80.718,"pop, rock"
Outkast,The Way You Move (feat. Sleepy Brown),66,0.871,125.999,"hip hop, pop"
Fabolous,Into You (feat. Tamia),67,0.546,182.12,"hip hop, pop, R&B"
Switchfoot,Meant to Live,61,0.397,151.551,"rock, pop"
Daniel Bedingfield,If You're Not The One,58,0.688,119.998,pop
Good Charlotte,Lifestyles of the Rich & Famous,68,0.62,106.22,"rock, metal"
Wayne Wonder,No Letting Go,63,0.496,100.215,"hip hop, R&B"
The Strokes,Reptilia,74,0.489,158.009,rock
Avril Lavigne,I'm with You,70,0.457,151.95,pop
Will Young,Leave Right Now,55,0.641,81.931,pop
Usher,Yeah! (feat. Lil Jon & Ludacris),81,0.894,105.018,"hip hop, pop, R&B"
Maroon 5,This Love,77,0.712,95.051,pop
Britney Spears,Toxic,81,0.774,143.04,pop
Outkast,Hey Ya!,80,0.727,79.526,"hip hop, pop"
Hoobastank,The Reason,79,0.472,82.952,"pop, rock, metal"
Anastacia,Left Outside Alone,65,0.663,102.847,pop
Daddy Yankee,Gasolina,11,0.857,96.009,latin
Black Eyed Peas,Let's Get It Started - Spike Mix,53,0.785,104.923,"hip hop, pop"
O-Zone,Dragostea Din Tei,56,0.809,130.103,pop
Terror Squad,Lean Back,67,0.783,95.321,hip hop
Anastacia,Sick and Tired,56,0.598,99.848,pop
Gwen Stefani,What You Waiting For?,60,0.676,136.027,"pop, R&B"
Ashanti,Only U - No Intro,56,0.601,94.547,"hip hop, pop, R&B"
The Rasmus,In the Shadows,68,0.6,105.991,metal
Houston,I Like That,59,0.797,106.997,"hip hop, pop"
Beyoncé,Naughty Girl,63,0.735,99.973,"pop, R&B"
Linkin Park,Numb,81,0.496,110.018,"rock, metal"
Lloyd Banks,On Fire,61,0.759,94.857,"hip hop, pop"
Akon,Locked Up,16,0.818,89.987,pop
D12,My Band,73,0.851,120.014,"hip hop, pop, rock"
Jay Sean,Eyes On You - Radio Mix,42,0.802,96.525,"hip hop, pop, R&B"
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,66,0.833,97.007,pop
Destiny's Child,Lose My Breath,61,0.814,119.011,"pop, R&B"
Eric Prydz,Call on Me - Radio Mix,72,0.597,126.342,"pop, Dance/Electronic"
Ciara,Goodies (feat. Petey Pablo),67,0.826,102.017,"pop, R&B"
Kelis,Trick Me,63,0.97,107.17,"pop, R&B, Dance/Electronic"
LL Cool J,Headsprung,56,0.718,99.916,"hip hop, pop, R&B"
Spiderbait,Black Betty - Edit,63,0.562,124.047,rock
George Michael,Amazing,57,0.805,128.429,set()
Britney Spears,My Prerogative,53,0.749,111.014,pop
Nina Sky,Move Ya Body,67,0.87,121.057,"pop, R&B"
Baby Bash,Suga Suga,73,0.662,82.331,"hip hop, pop, R&B, latin"
Petey Pablo,Freek-A-Leek,56,0.737,104.917,"hip hop, pop"
JAY-Z,Dirt Off Your Shoulder,53,0.779,163.971,hip hop
Juanes,La Camisa Negra,70,0.751,97.007,"pop, latin"
Avril Lavigne,Nobody's Home,61,0.348,185.406,pop
Robbie Williams,Radio,33,0.607,130.015,"pop, rock"
Black Eyed Peas,Hey Mama,49,0.86,100.15,"hip hop, pop"
Ying Yang Twins,Salt Shaker,61,0.884,101.965,"hip hop, pop"
Enrique Iglesias,Not In Love - Radio Mix,37,0.762,117.021,"pop, latin"
Kelis,Milkshake,68,0.881,112.968,"pop, R&B, Dance/Electronic"
Linkin Park,Breaking the Habit,68,0.579,100.021,"rock, metal"
JoJo,Leave (Get Out) - Radio Edit,49,0.656,86.891,"hip hop, pop, R&B"
Christina Milian,Dip It Low,45,0.752,169.131,"hip hop, pop, R&B"
Avant,Read Your Mind,56,0.755,73.108,"pop, R&B"
Eminem,Just Lose It,67,0.94,121.003,hip hop
Sugababes,Too Lost In You,58,0.586,98.014,"pop, R&B"
Snoop Dogg,Drop It Like It's Hot,39,0.892,92.063,"hip hop, pop"
Sean Paul,I'm Still in Love with You (feat. Sasha),68,0.765,87.002,"hip hop, pop"
The Shapeshifters,Lola's Theme - Radio Edit,65,0.748,123.925,Dance/Electronic
D12,How Come,57,0.745,89.983,"hip hop, pop, rock"
Basement Jaxx,Good Luck,0,0.571,154.07,"pop, Dance/Electronic"
Kevin Lyttle,Turn Me On,67,0.677,106.279,hip hop
Chingy,One Call Away,61,0.765,162.519,"hip hop, pop, R&B"
T.I.,Bring Em Out,63,0.759,98.579,"hip hop, pop"
DJ Casper,Cha Cha Slide - Hardino Mix,51,0.853,131.012,set()
Kylie Minogue,I Believe in You,47,0.548,120.939,"pop, Dance/Electronic"
Twista,Overnight Celebrity,66,0.828,134.199,"hip hop, pop, R&B"
N.E.R.D,She Wants To Move,57,0.766,115.012,hip hop
Britney Spears,Everytime,63,0.398,109.599,pop
U2,Vertigo,64,0.416,140.083,"World/Traditional, rock"
Franz Ferdinand,Take Me Out,77,0.277,104.561,rock
J-Kwon,Tipsy - Club Mix,59,0.925,93.04,"hip hop, pop"
G-Unit,Wanna Get To Know You,61,0.513,76.91,"hip hop, pop"
Lil' Flip,Sunshine (feat. Lea),42,0.814,93.961,"hip hop, pop"
Kanye West,Jesus Walks,73,0.637,87.312,hip hop
Evanescence,My Immortal,72,0.19,79.012,metal
Nelly,My Place,57,0.6,163.153,"hip hop, pop, R&B"
Lemar,If There's Any Justice,46,0.706,89.993,R&B
No Doubt,It's My Life,60,0.612,126.326,"rock, pop"
Avril Lavigne,Don't Tell Me,58,0.523,144.106,pop
Twista,Slow Jamz,72,0.559,145.115,"hip hop, pop, R&B"
Green Day,American Idiot,77,0.38,186.113,rock
Kelis,Millionaire,57,0.68,176.051,"pop, R&B, Dance/Electronic"
Scissor Sisters,Comfortably Numb,43,0.803,116.972,"pop, rock, Dance/Electronic"
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),55,0.663,127.932,"pop, R&B"
Kanye West,Through The Wire,76,0.571,83.089,hip hop
Special D.,Come With Me - Radio Edit,61,0.739,139.982,pop
Ludacris,Splash Waterfalls,48,0.734,145.894,"hip hop, pop"
Avril Lavigne,My Happy Ending,68,0.414,170.229,pop
Dido,White Flag,44,0.512,169.951,pop
Eamon,Fuck It (I Don't Want You Back),64,0.828,68.507,set()
Beyoncé,"Me, Myself and I",62,0.75,83.61,"pop, R&B"
3 Doors Down,Here Without You,74,0.557,143.994,"pop, rock, metal"
Kanye West,All Falls Down,80,0.657,91.03,hip hop
Twista,Sunshine (feat. Anthony Hamilton),56,0.926,98.523,"hip hop, pop, R&B"
Katie Melua,The Closest Thing to Crazy,55,0.562,127.831,"pop, easy listening, jazz"
Usher,My Boo,76,0.662,86.412,"hip hop, pop, R&B"
Lloyd,Southside,59,0.688,75.007,"hip hop, pop, R&B"
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,59,0.668,128.658,Dance/Electronic
The Streets,Fit but You Know It,58,0.68,172.302,"hip hop, Dance/Electronic"
JUVENILE,Slow Motion,64,0.713,172.872,"hip hop, pop"
Outkast,The Way You Move (feat. Sleepy Brown),66,0.871,125.999,"hip hop, pop"
Girls Aloud,Love Machine,59,0.663,116.02,"pop, Dance/Electronic"
Jessica Simpson,With You,57,0.553,94.487,"pop, R&B"
Eminem,Like Toy Soldiers,48,0.52,79.178,hip hop
Gary Jules,Mad World (Feat. Michael Andrews),65,0.345,174.117,pop
Ashlee Simpson,Pieces Of Me,56,0.505,174.001,pop
Will Young,Leave Right Now,55,0.641,81.931,pop
Alicia Keys,You Don't Know My Name,61,0.264,167.078,"pop, R&B"
Mariah Carey,We Belong Together,69,0.84,139.987,"pop, R&B"
Mario,Let Me Love You,72,0.656,94.514,"pop, R&B"
Kanye West,Gold Digger,78,0.629,93.034,hip hop
Rihanna,Pon de Replay,77,0.779,99.019,"hip hop, pop, R&B"
50 Cent,Candy Shop,79,0.614,125.173,"hip hop, pop"
James Blunt,You're Beautiful,75,0.675,81.998,pop
Green Day,Boulevard of Broken Dreams,72,0.49,167.046,rock
The Pussycat Dolls,Don't Cha,72,0.875,120.003,"pop, R&B"
Daniel Powter,Bad Day,74,0.599,140.046,pop
Akon,Bananza (Belly Dancer),28,0.878,104.838,pop
Madonna,Hung Up,74,0.649,125.02,pop
50 Cent,Just A Lil Bit,76,0.489,96.946,"hip hop, pop"
Crazy Frog,Axel F,67,0.86,138.045,pop
Eminem,Ass Like That,52,0.646,83.093,hip hop
Sean Paul,We Be Burnin',59,0.95,117,"hip hop, pop"
Gwen Stefani,Rich Girl,68,0.856,98.018,"pop, R&B"
The Chemical Brothers,Galvanize,63,0.745,104.003,Dance/Electronic
Fort Minor,Remember the Name (feat. Styles of Beyond),73,0.688,84.858,"hip hop, pop, rock"
50 Cent,Disco Inferno,72,0.925,97.018,"hip hop, pop"
The Game,How We Do,74,0.862,98.012,"hip hop, pop"
Chris Brown,Run It! (feat. Juelz Santana),71,0.846,100.969,"hip hop, pop, R&B"
Mariah Carey,It's Like That,0,0.8,95.953,"pop, R&B"
Black Eyed Peas,My Humps,67,0.802,123.95,"hip hop, pop"
Ciara,Oh (feat. Ludacris),61,0.8,128.29,"pop, R&B"
50 Cent,Outta Control - Remix,60,0.772,92.029,"hip hop, pop"
Baby Bash,"Baby, I'm Back",4,0.899,100.01,"hip hop, pop, R&B, latin"
Jennifer Lopez,Get Right,65,0.741,97.084,"hip hop, pop, R&B"
JAY-Z,Numb / Encore,76,0.687,107.045,hip hop
The Game,Hate It Or Love It,77,0.802,99.998,"hip hop, pop"
Gorillaz,Feel Good Inc.,82,0.818,138.559,hip hop
Black Eyed Peas,Don't Phunk With My Heart,62,0.69,130.889,"hip hop, pop"
Akon,Lonely,21,0.629,90.098,pop
Bodyrockers,I Like The Way - Radio Edit,54,0.642,127.988,"rock, Dance/Electronic"
Sugababes,Push The Button,64,0.962,126.016,"pop, R&B"
Jeezy,Soul Survivor,55,0.684,84.03,"hip hop, pop"
Eminem,Mockingbird,77,0.637,84.039,hip hop
Shakira,La Tortura (feat. Alejandro Sanz),72,0.74,100.011,"pop, latin"
Gorillaz,DARE,73,0.76,120.264,hip hop
Snoop Dogg,Signs,54,0.94,112.955,"hip hop, pop"
Robbie Williams,Tripping,58,0.666,118.014,"pop, rock"
David Banner,Play,52,0.837,95.027,"hip hop, pop"
Trillville,Some Cut,50,0.9,84.995,"hip hop, pop"
D4L,Laffy Taffy,63,0.891,77.499,"hip hop, pop"
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),67,0.904,125.461,"hip hop, pop, R&B"
Rob Thomas,Lonely No More,56,0.551,171.79,"pop, Folk/Acoustic"
Brian McFadden,Almost Here,42,0.561,77.984,set()
Bobby V.,"Slow Down - 12"" Version",65,0.568,186.048,"hip hop, pop, R&B"
Backstreet Boys,Incomplete,63,0.437,133.631,pop
Pretty Ricky,Grind With Me,63,0.7,136.518,"hip hop, pop, R&B"
Kanye West,Diamonds From Sierra Leone - Remix,61,0.672,97.043,hip hop
Snoop Dogg,Drop It Like It's Hot,39,0.892,92.063,"hip hop, pop"
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,41,0.905,100.813,"hip hop, pop"
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),63,0.878,77.49,"pop, R&B"
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",52,0.939,113.053,"pop, R&B"
Amerie,1 Thing,52,0.636,125.085,"hip hop, pop, R&B"
Ludacris,Get Back,59,0.555,171.609,"hip hop, pop"
Franz Ferdinand,Do You Want To,61,0.412,123.091,rock
Natalie Imbruglia,Shiver,52,0.489,94.163,"pop, Folk/Acoustic"
Gwen Stefani,Hollaback Girl,69,0.926,110.007,"pop, R&B"
Pretty Ricky,Your Body,59,0.838,90.038,"hip hop, pop, R&B"
Thirty Seconds To Mars,The Kill,74,0.179,182.99,rock
Alicia Keys,Karma,50,0.727,85.098,"pop, R&B"
2Pac,Ghetto Gospel,68,0.794,80.569,hip hop
Craig David,Don't Love You No More (I'm Sorry),56,0.636,100.113,"hip hop, pop, R&B"
Katie Melua,Nine Million Bicycles,60,0.534,82.168,"pop, easy listening, jazz"
Lil Jon & The East Side Boyz,Lovers And Friends,66,0.675,139.861,"hip hop, pop"
Mariah Carey,Don't Forget About Us - Radio Edit,0,0.7,143.555,"pop, R&B"
Ying Yang Twins,Wait (The Whisper Song),57,0.933,102.017,"hip hop, pop"
Will Smith,Switch,34,0.873,102.516,"hip hop, pop"
Bow Wow,Like You (feat. Ciara),66,0.714,82.017,"hip hop, pop, R&B"
Kaiser Chiefs,Everyday I Love You Less And Less,58,0.49,160.028,rock
Kelly Clarkson,Behind These Hazel Eyes,59,0.548,90.048,"pop, R&B"
Black Eyed Peas,Don't Lie,61,0.662,89.885,"hip hop, pop"
Westlife,You Raise Me Up,1,0.129,75.048,pop
Ray J,One Wish,62,0.525,127.673,"hip hop, pop, R&B"
Papa Roach,Scars,60,0.455,89.782,"rock, metal"
Arctic Monkeys,I Bet You Look Good On The Dancefloor,71,0.535,103.183,rock
Shayne Ward,That's My Goal,1,0.286,68.637,pop
Bow Wow,Let Me Hold You (feat. Omarion),62,0.815,151.518,"hip hop, pop, R&B"
Kaiser Chiefs,I Predict A Riot,63,0.395,158.842,rock
Usher,Caught Up,61,0.817,110.086,"hip hop, pop, R&B"
Kelly Clarkson,Because of You,71,0.587,139.92,"pop, R&B"
3 Doors Down,Let Me Go,52,0.478,92.004,"pop, rock, metal"
Nickelback,Photograph,67,0.515,145.916,"rock, metal"
T-Pain,I'm Sprung,0,0.722,99.991,"hip hop, pop, R&B"
Destiny's Child,Cater 2 U,58,0.605,125.802,"pop, R&B"
The Pussycat Dolls,Stickwitu,67,0.548,79.918,"pop, R&B"
Ryan Cabrera,TRUE,62,0.598,96.938,pop
Stereophonics,Dakota,69,0.506,146.994,"rock, pop"
Eminem,Like Toy Soldiers,67,0.52,79.178,hip hop
Nelly,Over And Over,61,0.644,169.799,"hip hop, pop, R&B"
Coldplay,Speed of Sound,69,0.514,123.067,"rock, pop"
KT Tunstall,Suddenly I See,71,0.587,100.38,"World/Traditional, pop, Folk/Acoustic"
Destiny's Child,Girl,55,0.567,89.036,"pop, R&B"
Kelly Clarkson,Since U Been Gone,71,0.662,130.999,"pop, R&B"
U2,Sometimes You Can't Make It On Your Own,56,0.53,96,"World/Traditional, rock"
The All-American Rejects,Dirty Little Secret,65,0.469,143.853,"rock, pop"
Toby Keith,As Good As I Once Was,67,0.68,119.075,country
Gwen Stefani,Cool,59,0.709,112.019,"pop, R&B"
Foo Fighters,Best of You,76,0.366,130.198,"rock, metal"
Shakira,Hips Don't Lie (feat. Wyclef Jean),82,0.778,100.024,"pop, latin"
Sean Paul,Temperature,78,0.951,125.04,"hip hop, pop"
Justin Timberlake,SexyBack (feat. Timbaland),78,0.967,117,pop
Beyoncé,Irreplaceable,70,0.447,175.868,"pop, R&B"
Amy Winehouse,Rehab,71,0.407,71.815,R&B
Rihanna,SOS,73,0.677,137.046,"hip hop, pop, R&B"
Gnarls Barkley,Crazy,74,0.855,111.97,"hip hop, R&B"
Busta Rhymes,Touch It,61,0.658,138.335,"hip hop, pop"
Nelly Furtado,Maneater,79,0.796,132.722,"hip hop, pop, latin"
Bob Sinclar,Rock This Party - Everybody Dance Now,69,0.893,128.009,"pop, Dance/Electronic"
Diddy,Come to Me (feat. Nicole Scherzinger),55,0.819,96.998,"hip hop, pop"
Madonna,Sorry,61,0.589,132.971,pop
Chamillionaire,Ridin',71,0.787,143.052,"hip hop, pop"
Black Eyed Peas,Pump It,75,0.648,153.649,"hip hop, pop"
Nelly Furtado,Promiscuous,82,0.808,114.328,"hip hop, pop, latin"
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,39,0.814,127.919,"pop, Dance/Electronic"
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,58,0.711,95.824,"hip hop, pop"
The Pussycat Dolls,Buttons,68,0.565,210.851,"pop, R&B"
Ciara,Get Up (feat. Chamillionaire),59,0.964,128.593,"pop, R&B"
Eminem,Shake That,74,0.963,107.005,hip hop
Cherish,Do It To It,65,0.826,74.007,"hip hop, pop, R&B"
Muse,Supermassive Black Hole,75,0.668,120,rock
Chris Brown,Gimme That,63,0.678,87.165,"hip hop, pop, R&B"
Infernal,From Paris to Berlin,57,0.741,126.069,pop
Cassie,Me & U,73,0.803,99.99,"pop, R&B"
E-40,U and Dat (feat. T. Pain & Kandi Girl),63,0.858,99.992,"hip hop, pop"
The Pussycat Dolls,Beep,57,0.938,103.7,"pop, R&B"
Lil Jon,Snap Yo Fingers,67,0.835,82.038,"hip hop, pop"
Armand Van Helden,My My My - Radio Edit,40,0.678,127.51,"pop, Dance/Electronic"
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",68,0.833,106.328,hip hop
Yung Joc,It's Goin' Down (feat. Nitti),66,0.888,84.003,"hip hop, pop"
Shayne Ward,No Promises,1,0.5,79.798,pop
Justin Timberlake,My Love (feat. T.I.),72,0.771,119.952,pop
Nickelback,Savin' Me,65,0.441,164.007,"rock, metal"
Nelly,Grillz,60,0.867,82.996,"hip hop, pop, R&B"
Take That,Patience,64,0.309,175.788,pop
Fergie,London Bridge,57,0.769,90.951,"pop, R&B"
Cascada,Everytime We Touch - Radio Edit,0,0.64,142.019,"hip hop, pop, Dance/Electronic"
D4L,Laffy Taffy,63,0.891,77.499,"hip hop, pop"
LL Cool J,Control Myself,42,0.825,120.066,"hip hop, pop, R&B"
Beyoncé,Deja Vu (feat. Jay-Z),57,0.644,105.253,"pop, R&B"
P!nk,Stupid Girls,0,0.683,100.04,pop
Eminem,When I'm Gone,68,0.618,75.272,hip hop
Kelis,Bossy,50,0.906,84.021,"pop, R&B, Dance/Electronic"
Bob Sinclar,Love Generation - Radio Edit,49,0.715,128.04,"pop, Dance/Electronic"
Meck,Thunder in My Heart Again (Radio Edit),46,0.679,129.016,set()
Mary J. Blige,Be Without You - Kendu Mix,69,0.726,146.559,"pop, R&B"
Girls Aloud,Something Kinda Ooooh,49,0.681,131.925,"pop, Dance/Electronic"
Rihanna,Unfaithful,70,0.588,144.069,"hip hop, pop, R&B"
Kanye West,Touch The Sky,73,0.552,98.56,hip hop
Dem Franchize Boyz,"Lean Wit It, Rock Wit It",60,0.886,76.035,"hip hop, pop"
Evanescence,Call Me When You're Sober,65,0.45,93.41,metal
Chingy,Pullin' Me Back,62,0.786,80,"hip hop, pop, R&B"
Nickelback,Far Away,70,0.518,132.918,"rock, metal"
Fall Out Boy,"Dance, Dance",74,0.622,114.452,rock
Leona Lewis,A Moment Like This,57,0.261,70.543,"pop, R&B"
T.I.,What You Know,64,0.551,73.464,"hip hop, pop"
Ludacris,Money Maker,62,0.551,78.756,"hip hop, pop"
Nick Lachey,What's Left Of Me,37,0.42,149.965,pop
Jibbs,Chain Hang Low,56,0.792,157.147,"hip hop, pop"
Arctic Monkeys,When The Sun Goes Down,72,0.348,169.152,rock
Rascal Flatts,Life is a Highway,0,0.561,103.055,country
Beyoncé,Check On It (feat. Slim Thug),45,0.7,166.104,"pop, R&B"
Keyshia Cole,Love,72,0.688,116.714,"hip hop, pop, R&B"
Lily Allen,Smile,68,0.632,95.506,pop
Ne-Yo,Sexy Love,67,0.693,94.02,"pop, R&B"
JoJo,Too Little Too Late,48,0.535,83.001,"hip hop, pop, R&B"
Mary J. Blige,One,64,0.344,185.888,"pop, R&B"
Bubba Sparxxx,Ms. New Booty,62,0.64,129.37,"hip hop, pop, country"
Amy Winehouse,You Know I'm No Good,63,0.705,103.383,R&B
Rascal Flatts,What Hurts The Most,69,0.537,136.002,country
Red Hot Chili Peppers,Dani California,76,0.556,96.184,rock
Scissor Sisters,I Don't Feel Like Dancin',63,0.707,108.023,"pop, rock, Dance/Electronic"
Ne-Yo,So Sick,75,0.452,92.791,"pop, R&B"
Hinder,Lips Of An Angel,35,0.474,129.005,"pop, rock, metal"
The Raconteurs,"Steady, As She Goes",56,0.525,123.696,rock
The Fratellis,Chelsea Dagger,68,0.511,154.514,rock
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),42,0.684,179.999,"hip hop, pop, rock"
The Pussycat Dolls,Stickwitu,67,0.548,79.918,"pop, R&B"
Panic! At The Disco,I Write Sins Not Tragedies,70,0.566,169.961,rock
James Blunt,Goodbye My Lover,67,0.432,89.567,pop
Christina Aguilera,Ain't No Other Man,63,0.862,127.91,pop
Westlife,The Rose,0,0.272,109.581,pop
Keane,Is It Any Wonder?,59,0.489,129.352,pop
Orson,No Tomorrow,46,0.656,124.082,pop
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),0,0.731,145.171,"hip hop, pop, R&B"
KT Tunstall,Black Horse And The Cherry Tree,64,0.748,104.833,"World/Traditional, pop, Folk/Acoustic"
Natasha Bedingfield,Unwritten,2,0.706,100.011,pop
Razorlight,America,67,0.447,90.933,"rock, pop"
James Morrison,You Give Me Something,64,0.559,79.753,"pop, R&B"
Snow Patrol,You're All I Have,35,0.467,132.013,"World/Traditional, rock, pop"
The Fray,How to Save a Life,79,0.64,122.035,pop
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),61,0.7,108.102,"World/Traditional, pop"
My Chemical Romance,Welcome to the Black Parade,76,0.217,96.95,rock
Razorlight,In The Morning,59,0.616,124.191,"rock, pop"
The All-American Rejects,Dirty Little Secret,65,0.469,143.853,"rock, pop"
James Morrison,Wonderful World,49,0.474,78.969,"pop, R&B"
Chris Brown,Yo (Excuse Me Miss),69,0.536,86.768,"hip hop, pop, R&B"
P!nk,Who Knew,0,0.688,140.004,pop
The Kooks,Naive,73,0.391,100.304,rock
Leona Lewis,Bleeding Love,75,0.638,104.036,"pop, R&B"
Rihanna,Umbrella,81,0.583,174.028,"hip hop, pop, R&B"
Britney Spears,Gimme More,79,0.788,113.324,pop
Fergie,Big Girls Don't Cry (Personal),76,0.708,113.082,"pop, R&B"
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,0,0.698,105.828,pop
Plain White T's,Hey There Delilah,78,0.656,103.971,pop
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),70,0.687,76,pop
Gwen Stefani,The Sweet Escape,71,0.756,119.961,"pop, R&B"
Timbaland,The Way I Are,80,0.731,114.759,"hip hop, pop, R&B"
Nelly Furtado,Say It Right,81,0.872,116.948,"hip hop, pop, latin"
Ida Corr,Let Me Think About It,43,0.762,129.026,set()
Alex Gaudino,Destination Calabria - Radio Edit,73,0.627,128.016,Dance/Electronic
September,Cry for You,65,0.767,130.018,"pop, Dance/Electronic"
Akon,Smack That,58,0.94,118.988,pop
Timbaland,Give It To Me,70,0.975,110.621,"hip hop, pop, R&B"
50 Cent,Ayo Technology,67,0.63,140.144,"hip hop, pop"
Eric Prydz,Proper Education - Radio Edit,0,0.537,124.938,"pop, Dance/Electronic"
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,0,0.827,127.995,"pop, Dance/Electronic"
Ciara,Like a Boy,68,0.701,132.035,"pop, R&B"
Kanye West,Stronger,54,0.617,103.992,hip hop
Beyoncé,Beautiful Liar,64,0.764,91.977,"pop, R&B"
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,59,0.584,79.702,"hip hop, pop"
Akon,I Wanna Love You,53,0.865,99.989,pop
Soulja Boy,Crank That (Soulja Boy),74,0.736,140.141,"hip hop, pop"
Fat Joe,Make It Rain,59,0.744,149.28,"hip hop, pop"
P!nk,U + Ur Hand,0,0.709,141.04,pop
Rihanna,Shut Up And Drive,69,0.735,132.964,"hip hop, pop, R&B"
Lloyd,Get It Shawty,62,0.822,128.014,"hip hop, pop, R&B"
Kanye West,Can't Tell Me Nothing,47,0.596,80.029,hip hop
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,17,0.847,127.894,set()
Linkin Park,What I've Done,77,0.623,120.119,"rock, metal"
Keyshia Cole,Last Night,60,0.918,121.006,"hip hop, pop, R&B"
Chris Brown,Kiss Kiss (feat. T-Pain),68,0.729,140.043,"hip hop, pop, R&B"
Shop Boyz,Party Like A Rock Star,61,0.619,144.972,"hip hop, pop"
Finger Eleven,Paralyzer,73,0.644,106.031,"rock, metal"
Justin Timberlake,Summer Love,66,0.606,95.802,pop
MiMS,This Is Why I'm Hot,59,0.621,80.021,"hip hop, pop"
Fabolous,Make Me Better,62,0.607,86.491,"hip hop, pop, R&B"
Seether,Fake It,73,0.611,132.078,"rock, metal"
Take That,Patience,64,0.309,175.788,pop
Arctic Monkeys,Brianstorm,67,0.42,165.182,rock
Justin Timberlake,My Love (feat. T.I.),72,0.771,119.952,pop
Fergie,Glamorous,64,0.811,130.993,"pop, R&B"
Linkin Park,Bleed It Out,73,0.529,140.127,"rock, metal"
My Chemical Romance,Teenagers,80,0.463,111.647,rock
Calvin Harris,Acceptable in the 80's,57,0.787,127.99,"hip hop, pop, Dance/Electronic"
Sugababes,About You Now,66,0.584,82.499,"pop, R&B"
Avril Lavigne,Girlfriend,75,0.56,163.983,pop
Ne-Yo,Because Of You,74,0.81,109.97,"pop, R&B"
Daughtry,It's Not Over,45,0.45,145.959,"pop, rock, metal"
Unk,Walk It Out,48,0.794,160.022,"hip hop, pop"
Lloyd,You,70,0.412,130.159,"hip hop, pop, R&B"
Klaxons,Golden Skans,65,0.463,141.955,rock
T-Pain,Bartender (feat. Akon),3,0.675,104.987,"hip hop, pop, R&B"
Baby Boy Da Prince,The Way I Live - Main Explicit,59,0.88,90.02,"hip hop, pop"
Fergie,Fergalicious,63,0.906,129.055,"pop, R&B"
Omarion,Ice Box,57,0.775,131.105,"hip hop, pop, R&B"
Pretty Ricky,On the Hotline - Amended Version,57,0.704,92.988,"hip hop, pop, R&B"
Nickelback,Rockstar,69,0.616,144.072,"rock, metal"
Fall Out Boy,Thnks fr th Mmrs,76,0.459,154.837,rock
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),57,0.859,121.243,pop
All Time Low,"Dear Maria, Count Me In",76,0.459,181.04,rock
Amy Winehouse,Back To Black,76,0.403,122.728,R&B
Keyshia Cole,Let It Go,58,0.808,94.955,"hip hop, pop, R&B"
Ciara,Promise,56,0.697,123.279,"pop, R&B"
Enrique Iglesias,Do You Know? (The Ping Pong Song),45,0.753,114.999,"pop, latin"
T2,Heartbroken - Edit,59,0.716,139.986,Dance/Electronic
Robyn,With Every Heartbeat,36,0.477,120.872,"pop, Dance/Electronic"
Maroon 5,Makes Me Wonder,62,0.803,113.996,pop
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",68,0.435,199.935,rock
Paramore,Misery Business,72,0.517,172.977,"pop, rock"
Hinder,Better Than Me,30,0.451,139.913,"pop, rock, metal"
Huey,"Pop, Lock & Drop It - Video Edit",52,0.723,144.09,"hip hop, pop"
Foo Fighters,The Pretender,78,0.433,172.984,"rock, metal"
Plies,Shawty (feat. T Pain),61,0.444,105.412,"hip hop, pop, R&B"
Kaiser Chiefs,Ruby,67,0.451,93.416,rock
Mark Ronson,Stop Me (feat. Daniel Merriweather),46,0.626,118.035,pop
Bow Wow,Outta My System (feat. T-Pain & Johntá Austin),57,0.772,83.998,"hip hop, pop, R&B"
