artist,song,popularity,danceability,tempo,genre
Creed,With Arms Wide Open,64,0.41,138.852,"pop, rock, metal"
The Corrs,Breathless,68,0.607,126.988,"pop, Folk/Acoustic"
Joe,I Wanna Know,65,0.725,136.086,"pop, R&B"
Wheatus,Teenage Dirtbag,71,0.625,94.661,set()
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,64,0.829,118.903,pop
Creed,Higher,69,0.459,155.827,"pop, rock, metal"
Britney Spears,Lucky,65,0.765,95.026,pop
Nelly,Country Grammar (Hot Shit),68,0.865,162.831,"hip hop, pop, R&B"
Shaggy,It Wasn't Me,76,0.853,94.759,"hip hop, pop"
Destiny's Child,Survivor,70,0.514,161.109,"pop, R&B"
Eminem,Stan,83,0.78,80.063,hip hop
Kylie Minogue,Can't Get You out of My Head,73,0.766,126.007,"pop, Dance/Electronic"
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",68,0.76,109.919,pop
Nelly Furtado,I'm Like A Bird,1,0.622,89.661,"hip hop, pop, latin"
Shakira,"Whenever, Wherever",74,0.794,107.657,"pop, latin"
Jimmy Eat World,The Middle,78,0.643,162.152,"rock, pop"
Train,Drops of Jupiter (Tell Me),77,0.481,79.064,pop
Geri Halliwell,It's Raining Men,62,0.637,136.482,pop
Blu Cantrell,Hit 'Em Up Style (Oops!),71,0.667,89.976,"pop, R&B"
Britney Spears,I'm a Slave 4 U,69,0.847,110.027,pop
Kylie Minogue,In Your Eyes,62,0.689,123.971,"pop, Dance/Electronic"
Missy Elliott,One Minute Man (feat. Ludacris),57,0.622,93.839,"hip hop, pop, R&B"
Mary J. Blige,Family Affair,76,0.911,92.887,"pop, R&B"
Faithless,We Come 1 - Radio Edit,53,0.645,135.977,"pop, Dance/Electronic"
Limp Bizkit,Rollin' (Air Raid Vehicle),73,0.603,96.306,metal
Lasgo,Something,65,0.643,140.01,pop
iio,Rapture (feat.Nadia Ali),54,0.661,123.943,Dance/Electronic
Emma Bunton,What Took You So Long?,54,0.668,118.011,pop
112,It's Over Now,57,0.66,97.988,"hip hop, pop, R&B"
Blue,All Rise,63,0.721,97.996,pop
Jessica Simpson,Irresistible,43,0.657,93.013,"pop, R&B"
Crazy Town,Butterfly,71,0.736,103.502,"rock, metal"
Michael Jackson,You Rock My World,64,0.854,95,"pop, R&B"
Eve,Let Me Blow Ya Mind,73,0.908,90.032,"hip hop, pop, R&B"
Jennifer Lopez,Ain't It Funny,0,0.707,99.825,"hip hop, pop, R&B"
Brandy,Another Day in Paradise - R&B-Version,50,0.7,102.043,"hip hop, pop, R&B"
Nickelback,How You Remind Me,78,0.446,172.094,"rock, metal"
Daft Punk,One More Time,76,0.613,122.746,"hip hop, Dance/Electronic"
Outkast,Ms. Jackson,82,0.843,94.948,"hip hop, pop"
Fragma,Everytime You Need Me - Radio Version,50,0.682,137.029,"pop, Dance/Electronic"
Mariah Carey,Loverboy,42,0.721,103.141,"pop, R&B"
Dido,Thank You,73,0.725,79.984,pop
Joe,Stutter (feat. Mystikal) - Double Take Remix,57,0.767,89.989,"pop, R&B"
P.O.D.,Youth of the Nation,69,0.563,97.867,"rock, metal"
Jennifer Lopez,Play,57,0.775,104.719,"hip hop, pop, R&B"
Missy Elliott,Get Ur Freak On,68,0.797,177.87,"hip hop, pop, R&B"
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),52,0.635,100.851,"pop, latin"
Christina Milian,AM To PM,60,0.872,105.005,"hip hop, pop, R&B"
Roger Sanchez,Another Chance,50,0.61,127.993,Dance/Electronic
Gorillaz,Clint Eastwood,74,0.663,167.953,hip hop
2Pac,Until The End Of Time,57,0.757,96.976,hip hop
Tamia,Stranger in My House,48,0.676,119.94,"pop, R&B"
Mary J. Blige,No More Drama,61,0.653,97.914,"pop, R&B"
Jennifer Lopez,Love Don't Cost a Thing,67,0.786,97.577,"hip hop, pop, R&B"
Jamiroquai,Little L,65,0.878,121.906,pop
Case,Missing You,55,0.612,86.31,"hip hop, pop, R&B"
112,Peaches & Cream,63,0.677,203.862,"hip hop, pop, R&B"
Five,Let's Dance - Radio Edit,47,0.631,118.007,pop
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],54,0.464,129.078,Dance/Electronic
Alien Ant Farm,Smooth Criminal,75,0.653,126.928,"rock, metal"
Erick Sermon,Music (feat. Marvin Gaye),57,0.897,100.01,"hip hop, pop"
D12,Purple Pills,68,0.78,125.25,"hip hop, pop, rock"
Usher,Pop Ya Collar - Radio Edit,26,0.888,106.957,"hip hop, pop, R&B"
Madonna,Don't Tell Me,53,0.699,99.965,pop
Blue,If You Come Back,58,0.582,78.375,pop
Atomic Kitten,Eternal Flame - Single Version,58,0.578,83.293,pop
Jagged Edge,Where the Party At (feat. Nelly),67,0.596,129.491,"hip hop, pop, R&B"
Afroman,Because I Got High,68,0.802,166.01,hip hop
S Club 7,Don't Stop Movin',63,0.822,117.033,pop
Craig David,Fill Me In,60,0.682,132.493,"hip hop, pop, R&B"
Nelly Furtado,Turn Off The Light,1,0.587,180.184,"hip hop, pop, latin"
The Supermen Lovers,Starlight - Radio Edit,61,0.739,127.487,Dance/Electronic
Mis-Teeq,All I Want - Sunship Radio Edit,46,0.795,134.079,"pop, Dance/Electronic"
Jagged Edge,Promise,56,0.751,128.002,"hip hop, pop, R&B"
S Club 7,Have You Ever,60,0.585,139.909,pop
Enya,Only Time,69,0.418,82.803,"World/Traditional, Folk/Acoustic"
Faith Hill,There You'll Be,60,0.321,128.98,"pop, country"
Ronan Keating,Lovin' Each Day,58,0.541,106.676,"pop, rock"
Destiny's Child,Bootylicious,64,0.84,103.376,"pop, R&B"
Steps,It's the Way You Make Me Feel,53,0.573,105.006,"pop, Dance/Electronic"
Sunshine Anderson,Heard It All Before,56,0.697,96.951,"pop, R&B"
Lenny Kravitz,Again,68,0.55,79.166,"rock, pop"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,46,0.836,133.592,pop
DB Boulevard,Point Of View - Radio Edit,0,0.676,129.006,Dance/Electronic
Janet Jackson,All For You,65,0.753,113.525,"pop, R&B"
Atomic Kitten,Whole Again,66,0.747,94.019,pop
Ja Rule,Livin' It Up,64,0.874,106.095,"hip hop, pop, R&B"
Destiny's Child,"Independent Women, Pt. 1",65,0.73,97.954,"pop, R&B"
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,54,0.847,131.044,Dance/Electronic
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,66,0.708,83.46,"hip hop, pop, R&B"
Musiq Soulchild,Love,0,0.569,99.738,"pop, R&B"
So Solid Crew,21 Seconds,51,0.607,137.03,Dance/Electronic
Robbie Williams,Eternity,48,0.469,77.967,"pop, rock"
Basement Jaxx,Romeo,0,0.713,126.853,"pop, Dance/Electronic"
Ludacris,Southern Hospitality (Featuring Pharrell),54,0.623,95.158,"hip hop, pop"
Gabrielle,Rise,60,0.558,144.673,"pop, R&B"
Nelly,Ride Wit Me,75,0.85,101.875,"hip hop, pop, R&B"
Trick Daddy,I'm a Thug,59,0.933,139.976,"hip hop, pop"
Travis,Sing,68,0.33,163.142,"rock, pop"
JAY-Z,Izzo (H.O.V.A.),63,0.618,84.411,hip hop
Gabrielle,Out Of Reach,69,0.51,182.862,"pop, R&B"
OPM,Heaven Is a Halfpipe (If I Die),56,0.743,95.9,rock
K-Ci & JoJo,Crazy,30,0.68,116.097,"pop, R&B"
Staind,It's Been Awhile,64,0.509,116.529,"rock, metal"
3LW,No More (Baby I'ma Do Right),56,0.721,88.933,"pop, R&B"
Ginuwine,Differences,65,0.562,62.876,"hip hop, pop, R&B"
*NSYNC,Gone,45,0.699,113.922,pop
Lifehouse,Hanging By A Moment,61,0.537,124.599,"pop, rock, metal"
Nelly,Dilemma,77,0.727,168.189,"hip hop, pop, R&B"
Eminem,Without Me,87,0.908,112.238,hip hop
Avril Lavigne,Complicated,78,0.585,77.987,pop
Vanessa Carlton,A Thousand Miles,75,0.56,94.931,"Folk/Acoustic, pop"
The Calling,Wherever You Will Go,72,0.558,112.027,pop
Shakira,Underneath Your Clothes,64,0.616,165.508,"pop, latin"
No Doubt,Underneath It All,27,0.729,138.202,"rock, pop"
Truth Hurts,Addictive,58,0.701,99.271,"pop, R&B"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),68,0.648,85.996,"hip hop, pop"
Eminem,'Till I Collapse,85,0.548,171.447,hip hop
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",69,0.713,199.764,"hip hop, pop"
Christina Milian,When You Look At Me - Radio Edit,60,0.955,108.955,"hip hop, pop, R&B"
Madonna,Die Another Day,53,0.792,123.993,pop
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),53,0.718,93.401,"hip hop, pop, R&B"
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),40,0.583,195.685,pop
Linkin Park,In the End,83,0.556,105.143,"rock, metal"
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,66,0.607,184.819,set()
Aaliyah,Rock The Boat,0,0.641,92.988,"hip hop, pop, R&B"
Holly Valance,Kiss Kiss,54,0.705,97.036,"pop, Dance/Electronic"
Sugababes,Round Round,59,0.74,126.607,"pop, R&B"
Marilyn Manson,Tainted Love,60,0.622,142.017,"rock, metal"
Brandy,What About Us?,43,0.686,93.118,"hip hop, pop, R&B"
Chad Kroeger,Hero (feat. Josey Scott),66,0.427,147.387,metal
Britney Spears,Overprotected - Radio Edit,61,0.682,95.992,pop
Scooter,The Logical Song,46,0.527,144.043,"pop, Dance/Electronic"
Missy Elliott,4 My People (feat. Eve),49,0.969,121.392,"hip hop, pop, R&B"
Aaliyah,More Than A Woman,42,0.646,86.994,"hip hop, pop, R&B"
Brandy,Full Moon,52,0.611,105.922,"hip hop, pop, R&B"
Blue,One Love,60,0.683,95.012,pop
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,55,0.697,89.767,"hip hop, pop"
Céline Dion,A New Day Has Come - Radio Remix,59,0.574,91.969,pop
Scooter,Nessaja,47,0.486,143.048,"pop, Dance/Electronic"
Eve,Gangsta Lovin',58,0.723,94.332,"hip hop, pop, R&B"
Disturbing Tha Peace,Move Bitch,59,0.777,177.894,"hip hop, pop"
Khia,"My Neck, My Back (Lick It)",59,0.859,102.072,"pop, R&B"
Tweet,Oops (Oh My) [feat. Missy Elliott],64,0.66,159.963,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,55,0.761,120.043,"pop, Dance/Electronic"
Nelly,Hot In Herre,75,0.956,107.075,"hip hop, pop, R&B"
Gareth Gates,Anyone of Us (Stupid Mistake),53,0.7,106.986,pop
Christina Aguilera,Dirrty (feat. Redman),68,0.64,99.931,pop
B2K,Uh Huh,49,0.855,99.699,"hip hop, pop, R&B"
Sugababes,Freak Like Me,45,0.517,91.868,"pop, R&B"
Dirty Vegas,Days Go By,48,0.786,126.99,Dance/Electronic
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),73,0.835,93.955,"hip hop, pop"
Liberty X,Just A Little,43,0.786,103.887,pop
No Doubt,Hella Good,26,0.771,115.142,"rock, pop"
LL Cool J,Luv U Better,2,0.668,95.022,"hip hop, pop, R&B"
Red Hot Chili Peppers,Can't Stop,80,0.618,91.455,rock
Musiq Soulchild,Halfcrazy,58,0.412,101.955,"pop, R&B"
Sean Paul,Gimme the Light,59,0.778,107.288,"hip hop, pop"
Faith Evans,I Love You,53,0.489,168.004,"hip hop, pop, R&B"
Charli Baltimore,Down 4 U,47,0.64,83.133,pop
Kylie Minogue,Love at First Sight,55,0.603,124.994,"pop, Dance/Electronic"
N.O.R.E.,Nothin',58,0.791,97.035,"hip hop, pop"
Gareth Gates,Unchained Melody,35,0.368,106.52,pop
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],63,0.66,89.279,"hip hop, pop"
Big Brovaz,Nu Flow,45,0.783,148.062,pop
No Doubt,Hey Baby,24,0.705,93.63,"rock, pop"
Ashanti,Baby,55,0.567,157.596,"hip hop, pop, R&B"
Sophie Ellis-Bextor,Murder On The Dancefloor,62,0.734,117.31,"pop, Dance/Electronic"
Justin Timberlake,Like I Love You,62,0.853,114.964,pop
Mary J. Blige,Rainy Dayz,32,0.412,68.942,"pop, R&B"
A1,Caught in the Middle,53,0.519,96.072,pop
Eminem,Cleanin' Out My Closet,71,0.908,148.015,hip hop
Ashanti,Happy,61,0.727,89.488,"hip hop, pop, R&B"
Delta Goodrem,Born to Try,54,0.542,133.838,pop
P!nk,Get the Party Started,68,0.802,128.93,pop
Alicia Keys,A Woman's Worth,52,0.652,75.09,"pop, R&B"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,56,0.838,133.592,pop
Coldplay,Clocks,79,0.577,130.97,"rock, pop"
Missy Elliott,Work It,70,0.884,101.868,"hip hop, pop, R&B"
Ronan Keating,If Tomorrow Never Comes,60,0.555,79.01,"pop, rock"
Big Tymers,Still Fly,64,0.675,177.928,"hip hop, pop"
Creed,My Sacrifice,69,0.32,146.349,"pop, rock, metal"
Ja Rule,Always On Time,73,0.839,96.673,"hip hop, pop, R&B"
Ashanti,Foolish,70,0.665,90.119,"hip hop, pop, R&B"
Avril Lavigne,Sk8er Boi,75,0.487,149.937,pop
DJ Sammy,Heaven,63,0.571,137.965,pop
Britney Spears,"I'm Not a Girl, Not Yet a Woman",58,0.534,78.996,pop
Cam’ron,Oh Boy,67,0.754,83.014,"hip hop, pop"
Red Hot Chili Peppers,By the Way,73,0.451,122.444,rock
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,60,0.597,114.999,"rock, easy listening"
Atomic Kitten,The Tide Is High - Radio Mix,65,0.783,103.997,pop
*NSYNC,Girlfriend,50,0.745,93.967,pop
Robbie Williams,Somethin' Stupid,64,0.654,106.191,"pop, rock"
Alanis Morissette,Hands Clean,57,0.513,99.952,"pop, Folk/Acoustic"
Usher,U Don't Have to Call,59,0.793,100.005,"hip hop, pop, R&B"
Creed,One Last Breath - Radio Version,47,0.38,130.581,"pop, rock, metal"
The Goo Goo Dolls,Here Is Gone,56,0.338,102.192,"pop, rock"
Puddle Of Mudd,She Hates Me,70,0.58,109.781,"rock, metal"
Ludacris,Rollout (My Business),60,0.921,131.059,"hip hop, pop"
Blazin' Squad,Crossroads - Radio Edit,40,0.661,144.188,set()
Default,Wasting My Time,40,0.443,147.973,"rock, pop, metal"
Michelle Branch,All You Wanted,60,0.499,96.103,"pop, Folk/Acoustic"
Daniel Bedingfield,If You're Not The One,58,0.688,119.998,pop
Enrique Iglesias,Escape,56,0.776,125.972,"pop, latin"
Puddle Of Mudd,Blurry,64,0.432,157.469,"rock, metal"
Coldplay,In My Place,72,0.424,144.636,"rock, pop"
Outkast,The Whole World (feat. Killer Mike),51,0.814,184.682,"hip hop, pop"
P!nk,Don't Let Me Get Me - Radio Edit,60,0.624,98.525,pop
50 Cent,In Da Club,81,0.899,90.051,"hip hop, pop"
Sean Paul,Get Busy,74,0.735,100.202,"hip hop, pop"
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",77,0.686,171.355,hip hop
Beyoncé,Crazy In Love (feat. Jay-Z),76,0.646,99.165,"pop, R&B"
Counting Crows,Big Yellow Taxi,50,0.669,88.029,"rock, pop"
Black Eyed Peas,Where Is The Love?,68,0.835,94.059,"hip hop, pop"
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,70,0.845,100,"hip hop, pop, R&B"
Black Eyed Peas,Shut Up,56,0.81,112.968,"hip hop, pop"
t.A.T.u.,All The Things She Said,39,0.527,179.92,pop
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,66,0.793,130.017,"pop, Dance/Electronic"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),68,0.648,85.996,"hip hop, pop"
Panjabi MC,Mundian to Bach Ke,61,0.778,98.077,"World/Traditional, hip hop"
Mis-Teeq,Scandalous - U.S. Radio Edit,59,0.734,99.971,"pop, Dance/Electronic"
JAY-Z,03' Bonnie & Clyde,71,0.759,89.64,hip hop
50 Cent,P.I.M.P.,76,0.712,84.722,"hip hop, pop"
Jamelia,Superstar,69,0.801,110.01,pop
Linkin Park,Faint,72,0.554,135.095,"rock, metal"
DMX,X Gon' Give It To Ya,70,0.761,95.027,"hip hop, pop"
Evanescence,Bring Me To Life,79,0.331,94.612,metal
Sugababes,Hole In The Head,57,0.785,125.011,"pop, R&B"
Craig David,Rise & Fall (feat. Sting),59,0.405,83.373,"hip hop, pop, R&B"
Three Days Grace,I Hate Everything About You,72,0.498,89.342,"rock, metal"
Lil Jon & The East Side Boyz,Get Low,47,0.78,101.043,"hip hop, pop"
B2K,"Bump, Bump, Bump (feat. P. Diddy)",62,0.835,95.508,"hip hop, pop, R&B"
Baby Bash,Suga Suga,73,0.662,82.331,"hip hop, pop, R&B, latin"
Aaliyah,Miss You - Main,36,0.602,109.598,"hip hop, pop, R&B"
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,59,0.804,120.046,pop
Blue,Sorry Seems To Be The Hardest Word,57,0.564,78.955,pop
Delta Goodrem,Lost Without You,54,0.581,146.301,pop
Justin Timberlake,Rock Your Body,76,0.892,100.972,pop
The White Stripes,Seven Nation Army,3,0.741,123.904,"rock, blues"
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,54,0.772,84.038,"hip hop, pop"
Beyoncé,Baby Boy (feat. Sean Paul),63,0.655,91.025,"pop, R&B"
Lil' Kim,Magic Stick,47,0.849,92.98,"hip hop, pop, R&B"
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),61,0.859,98.989,pop
Nickelback,Someday,68,0.455,163.118,"rock, metal"
Blue,U Make Me Wanna - Radio Edit,48,0.6,158.108,pop
Ashanti,Rain On Me,50,0.606,83.701,"hip hop, pop, R&B"
Trapt,Headstrong,72,0.492,184.981,"rock, metal"
Simply Red,Sunrise,58,0.791,105.987,"rock, R&B, Folk/Acoustic, pop"
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",61,0.811,199.958,"pop, R&B"
Girls Aloud,Sound Of The Underground,58,0.568,163.944,"pop, Dance/Electronic"
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,52,0.527,87.025,"hip hop, pop, R&B"
Room 5,Make Luv,57,0.883,124.814,Dance/Electronic
Fatman Scoop,Be Faithful,49,0.649,101.129,hip hop
Limp Bizkit,Behind Blue Eyes,70,0.595,120.315,metal
Sugababes,Too Lost In You,58,0.586,98.014,"pop, R&B"
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",57,0.802,81.008,"hip hop, pop"
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,67,0.894,102.009,"hip hop, pop"
Chingy,Right Thurr,69,0.866,92.074,"hip hop, pop, R&B"
Eminem,Sing For The Moment,71,0.668,163.961,hip hop
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,48,0.853,104.946,"hip hop, pop, R&B"
Mýa,My Love Is Like...Wo - Main Mix,48,0.831,132.817,"pop, R&B"
50 Cent,21 Questions,72,0.646,92.729,"hip hop, pop"
Nelly,Air Force Ones,61,0.784,164.062,"hip hop, pop, R&B"
Missy Elliott,Gossip Folks (feat. Ludacris),57,0.707,121.732,"hip hop, pop, R&B"
Girls Aloud,Jump,60,0.658,134.465,"pop, Dance/Electronic"
Ultrabeat,Pretty Green Eyes - Radio Edit,59,0.553,139.993,"pop, Dance/Electronic"
Christina Aguilera,Fighter,67,0.435,188.899,pop
